Symbol,Company,      Price,Chg, Chg,Weight
MAA,Mid-America Apartment Communities Inc.,   157.09,-2.31,-1.45,0.054154
CLX,Clorox Company,   146.14,-2.88,-1.93,0.053972
VTR,Ventas Inc.,   44.86,-0.6,-1.32,0.053613
IEX,IDEX Corporation,   233.02,-3.85,-1.63,0.053076
DRI,Darden Restaurants Inc.,   141.89,-1.65,-1.15,0.052379
WST,West Pharmaceutical Services Inc.,   235.88,-3.56,-1.49,0.052212
DGX,Quest Diagnostics Incorporated,   147.97,-0.95,-0.64,0.051635
SEDG,SolarEdge Technologies Inc.,   298.94,-15.13,-4.82,0.051618
ETSY,Etsy Inc.,   133.58,-3.63,-2.65,0.051381
CMS,CMS Energy Corporation,   60.43,0.5,-0.83,0.051359
FDS,FactSet Research Systems Inc.,   451.94,-7.15,-1.56,0.051248
CINF,Cincinnati Financial Corporation,   105.91,-1.96,-1.82,0.051109
PKI,PerkinElmer Inc.,   136.03,-0.91,-0.66,0.051079
BALL,Ball Corporation,   54.24,-0.12,-0.21,0.050845
BBY,Best Buy Co. Inc.,   83.43,-0.89,-1.06,0.050647
ABMD,ABIOMED Inc.,   377.09,-1.13,-0.30,0.050613
TTWO,Take-Two Interactive Software Inc.,   102.49,-4.5,-4.20,0.050009
BR,Broadridge Financial Solutions Inc.,   142.66,-2.32,-1.60,0.049635
MPWR,Monolithic Power Systems Inc.,   361.69,-13.37,-3.56,0.049605
MOS,Mosaic Company,   47.56,-0.63,-1.31,0.049528
SYF,Synchrony Financial,   34.06,-0.34,-0.97,0.049316
SJM,J.M. Smucker Company,   152.76,-1.26,-0.82,0.049188
FMC,FMC Corporation,   126.80,-3.93,-3.01,0.049018
TRGP,Targa Resources Corp.,   69.66,-2.35,-3.26,0.048415
KEY,KeyCorp,   17.09,-0.37,-2.09,0.047971
ATO,Atmos Energy Corporation,   116.80,0.94,-0.81,0.047807
IRM,Iron Mountain Inc.,   54.61,-0.38,-0.69,0.047113
OMC,Omnicom Group Inc,   75.52,-1.68,-2.18,0.047025
J,Jacobs Solutions Inc.,   120.90,-0.98,-0.80,0.046793
AVY,Avery Dennison Corporation,   188.81,-2.55,-1.33,0.046761
COO,Cooper Companies Inc.,   313.14,-8.43,-2.62,0.046683
LVS,Las Vegas Sands Corp.,   46.93,-0.77,-1.61,0.046655
INCY,Incyte Corporation,   82.47,-1.62,-1.92,0.046638
WRB,W. R. Berkley Corporation,   74.66,0.33,-0.44,0.045145
EXPE,Expedia Group Inc.,   95.87,-4.79,-4.76,0.044762
PAYC,Paycom Software Inc.,   308.02,-7.45,-2.36,0.044745
SWKS,Skyworks Solutions Inc.,   91.83,-1.91,-2.04,0.04472
LDOS,Leidos Holdings Inc.,   108.36,-1.29,-1.18,0.044518
APA,APA Corp.,   43.99,-1.73,-3.77,0.044414
TRMB,Trimble Inc.,   58.24,-1.61,-2.69,0.044383
JBHT,J.B. Hunt Transport Services Inc.,   176.04,-1.6,-0.90,0.044035
TXT,Textron Inc.,   73.36,3.46,-4.95,0.043999
TER,Teradyne Inc.,   90.35,-3.04,-3.26,0.043591
AKAM,Akamai Technologies Inc.,   89.65,-1.95,-2.13,0.043298
GRMN,Garmin Ltd.,   93.18,-0.72,-0.77,0.043117
NTAP,NetApp Inc.,   63.09,-1.57,-2.43,0.042731
NVR,NVR Inc.,   4,580.48,-69.5,-1.49,0.042724
FLT,FLEETCOR Technologies Inc.,   185.05,-6.2,-3.24,0.042684
UAL,United Airlines Holdings Inc.,   45.19,0.16,-0.34,0.042664
HWM,Howmet Aerospace Inc.,   37.73,-0.81,-2.10,0.042366
LKQ,LKQ Corporation,   53.22,-0.71,-1.32,0.041837
PEAK,Healthpeak Properties Inc.,   25.72,-0.32,-1.21,0.041368
